Car_ID,Brand,Model_Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Horsepower,Price
1,Ford,2023,1.2,Hybrid,Manual,180635,4,3,82,34309.25
2,Hyundai,2018,3.2,Electric,Manual,35628,2,4,259,55153.6
3,BMW,2008,2.2,Diesel,Manual,74672,3,2,333,41894.4
4,Hyundai,2017,2.2,Petrol,Automatic,51246,4,4,381,54046.7
5,Hyundai,2012,2.4,Electric,Manual,147233,3,4,290,38010.35
6,Honda,2023,3.5,Petrol,Automatic,94110,2,4,173,54182.5
7,BMW,2016,2.3,Petrol,Manual,7810,2,3,267,52140.5
8,BMW,2022,3.9,Petrol,Automatic,195932,4,1,369,61707.4
9,BMW,2010,2.6,Electric,Manual,76688,3,1,238,44992.6
10,Hyundai,2022,1.3,Electric,Manual,70548,4,4,218,40924.6
11,Ford,2023,4.1,Petrol,Automatic,198435,2,3,318,56053.25
12,BMW,2009,2.1,Diesel,Automatic,16162,3,2,325,49052.9
13,Tesla,2013,2.7,Petrol,Automatic,92858,4,4,111,34220.1
14,Hyundai,2007,3.7,Diesel,Manual,78535,4,2,271,46273.25
15,Honda,2014,2.3,Petrol,Automatic,143291,4,2,313,46711.45
16,Ford,2023,1.2,Hybrid,Automatic,75864,2,3,226,46896.8
17,Tesla,2007,2.5,Petrol,Automatic,139693,4,3,355,40811.35
18,Tesla,2019,4.8,Petrol,Automatic,123371,3,1,351,67784.45
19,Honda,2005,3.6,Electric,Automatic,94792,4,1,307,44801.4
20,Ford,2011,3.7,Diesel,Automatic,180505,2,3,88,32714.75
21,Hyundai,2016,3.5,Hybrid,Automatic,71188,4,4,122,47823.6
22,Toyota,2021,1.8,Diesel,Automatic,191023,2,1,154,37807.85
23,Ford,2009,2.7,Hybrid,Automatic,86718,2,2,342,50356.1
24,Honda,2008,4.0,Petrol,Manual,41558,3,4,282,48754.1
25,Tesla,2016,1.4,Electric,Manual,133938,3,2,173,36202.1
26,Hyundai,2022,2.1,Electric,Automatic,151731,4,3,261,43698.45
27,Ford,2021,2.1,Diesel,Manual,39413,2,2,246,54538.35
28,Toyota,2023,2.7,Electric,Manual,15435,2,4,216,55129.25
29,Toyota,2013,4.9,Diesel,Automatic,189983,3,3,150,47514.85
30,BMW,2008,1.3,Diesel,Automatic,33067,3,4,262,35287.65
31,BMW,2006,3.1,Hybrid,Automatic,92794,4,2,106,33525.3
32,Honda,2008,1.7,Diesel,Automatic,98823,2,4,395,42929.85
33,Ford,2006,4.9,Hybrid,Automatic,74224,3,3,223,47126.8
34,Ford,2019,1.5,Electric,Automatic,6379,4,2,199,44889.05
35,Tesla,2006,2.6,Diesel,Manual,107547,2,2,128,35642.65
36,Tesla,2008,4.0,Diesel,Automatic,113541,2,1,293,49493.95
37,Tesla,2010,3.8,Petrol,Manual,163696,3,1,318,47743.2
38,BMW,2011,2.7,Diesel,Automatic,119634,4,4,309,44302.3
39,Ford,2014,2.4,Diesel,Automatic,133701,3,1,362,46695.95
40,Ford,2023,2.6,Petrol,Manual,62745,4,1,356,63718.75
41,Toyota,2023,2.1,Petrol,Automatic,187877,2,1,273,45931.15
42,BMW,2016,1.8,Electric,Automatic,108915,4,1,168,39792.25
43,Hyundai,2007,2.9,Diesel,Manual,148588,4,3,245,39293.6
44,BMW,2017,2.1,Electric,Automatic,134560,4,3,331,46809.0
45,Hyundai,2022,2.1,Electric,Manual,160915,4,1,340,50932.25
46,Toyota,2012,3.6,Petrol,Automatic,141984,4,4,212,42371.8
47,Honda,2019,4.9,Hybrid,Automatic,157586,3,3,258,56327.7
48,Ford,2005,3.4,Electric,Manual,193104,4,1,341,43533.8
49,Toyota,2007,1.3,Hybrid,Automatic,164869,4,3,89,18911.55
50,Ford,2012,1.3,Diesel,Manual,142521,2,2,369,43158.95
51,Tesla,2008,4.8,Petrol,Manual,137797,4,3,115,42674.15
52,Honda,2020,2.2,Diesel,Manual,86406,2,3,164,44544.7
53,Honda,2014,1.4,Diesel,Automatic,14304,3,4,133,39019.8
54,Toyota,2016,3.4,Petrol,Automatic,130555,3,3,200,49124.25
55,Honda,2018,3.5,Diesel,Manual,149735,4,4,78,42775.25
56,Hyundai,2018,3.6,Petrol,Automatic,75320,3,2,272,55378.0
57,Honda,2006,2.1,Hybrid,Automatic,99488,4,1,367,44945.6
58,Ford,2009,1.1,Diesel,Automatic,80591,3,4,243,33585.45
59,Ford,2009,4.9,Petrol,Manual,100044,4,3,142,45173.8
60,Ford,2010,2.0,Electric,Automatic,148748,4,3,153,31674.6
61,Ford,2017,3.7,Diesel,Manual,30192,2,4,128,46337.4
62,Hyundai,2013,3.8,Hybrid,Automatic,160794,2,2,90,36860.3
63,BMW,2019,3.4,Petrol,Automatic,143518,2,1,226,48386.1
64,Tesla,2018,2.3,Diesel,Manual,124304,2,3,388,50867.8
65,Toyota,2011,2.1,Diesel,Automatic,140797,4,2,398,46974.15
66,Ford,2006,3.4,Diesel,Manual,93207,3,1,130,35864.65
67,Honda,2011,4.5,Hybrid,Automatic,193704,4,1,133,41306.8
68,Ford,2010,4.8,Petrol,Manual,78741,2,3,394,58606.95
69,Honda,2021,1.4,Electric,Automatic,21365,2,4,237,46261.75
70,Tesla,2006,1.6,Electric,Automatic,70792,3,3,272,36979.4
71,Tesla,2007,4.8,Electric,Automatic,151776,2,3,198,43145.2
72,Tesla,2009,3.9,Petrol,Manual,55575,4,3,314,51605.25
73,Honda,2009,4.5,Electric,Manual,165974,4,2,175,45407.3
74,Ford,2005,1.8,Hybrid,Manual,124641,4,4,390,36545.95
75,Tesla,2012,3.4,Petrol,Automatic,137267,4,2,191,41880.65
76,Hyundai,2016,3.8,Diesel,Manual,58517,4,3,387,60775.15
77,Honda,2008,3.7,Hybrid,Manual,39012,3,4,251,46451.4
78,Honda,2017,2.6,Diesel,Manual,147487,4,1,172,41520.65
79,Ford,2019,1.1,Electric,Manual,175606,2,4,385,41123.7
80,Honda,2015,3.3,Hybrid,Manual,26686,2,3,371,59006.7
81,Honda,2014,2.0,Petrol,Manual,164815,2,4,330,38815.25
82,Tesla,2007,2.8,Hybrid,Manual,37161,2,1,182,42436.95
83,Ford,2018,4.8,Diesel,Manual,197385,3,1,139,48448.75
84,Tesla,2020,2.6,Petrol,Manual,7402,2,4,229,49320.9
85,Tesla,2014,4.4,Hybrid,Manual,68190,3,1,309,60686.5
86,Ford,2014,1.8,Hybrid,Automatic,188623,2,2,80,30002.85
87,Toyota,2016,3.7,Hybrid,Automatic,18275,3,4,207,51880.25
88,Tesla,2013,4.9,Hybrid,Manual,164254,3,1,236,50633.3
89,Hyundai,2005,1.4,Petrol,Automatic,19915,3,1,316,42980.25
90,Hyundai,2009,1.0,Diesel,Automatic,5909,2,4,100,31065.550000000003
91,Honda,2012,2.7,Hybrid,Manual,119110,3,2,81,32736.5
92,Hyundai,2015,1.4,Petrol,Manual,70908,4,4,312,40745.6
93,Honda,2016,4.0,Diesel,Manual,132337,4,1,177,48058.15
94,Toyota,2005,4.7,Hybrid,Automatic,27620,2,4,392,58769.0
95,Ford,2015,2.7,Diesel,Manual,39112,4,1,263,52699.4
96,Ford,2009,2.0,Diesel,Automatic,7431,4,3,377,49037.45
97,Ford,2019,2.7,Petrol,Manual,91590,4,4,202,48477.5
98,Hyundai,2009,3.9,Diesel,Automatic,67175,2,4,350,55577.25
99,Toyota,2016,1.0,Petrol,Automatic,122472,2,1,360,44627.4
100,Hyundai,2009,3.4,Hybrid,Manual,37624,4,1,232,46647.8
101,Hyundai,2021,3.5,Diesel,Manual,66264,2,1,347,64835.8
102,Toyota,2021,3.6,Diesel,Automatic,118766,3,1,272,57016.7
103,Toyota,2016,2.0,Electric,Automatic,168030,4,4,165,32798.5
104,Toyota,2019,3.9,Hybrid,Manual,137767,2,1,292,56146.65
105,Toyota,2019,1.4,Hybrid,Manual,105211,2,4,306,42277.45
106,Ford,2010,1.8,Electric,Automatic,124502,4,2,186,33986.9
107,BMW,2016,4.5,Electric,Manual,186004,2,4,261,52889.8
108,BMW,2022,4.0,Petrol,Automatic,49225,4,1,345,66928.75
109,Toyota,2018,1.1,Petrol,Manual,137475,2,1,175,38190.25
110,BMW,2006,2.0,Diesel,Manual,174708,3,2,73,21956.6
111,BMW,2013,1.9,Diesel,Manual,15839,4,4,87,33230.05
112,Toyota,2009,2.1,Diesel,Automatic,183901,3,2,376,40220.95
113,BMW,2005,2.0,Diesel,Manual,145302,4,4,89,23596.9
114,Hyundai,2007,1.3,Petrol,Automatic,56977,2,1,191,33300.15
115,Honda,2010,2.8,Hybrid,Manual,176304,3,4,206,35924.8
116,Honda,2009,3.9,Diesel,Automatic,118050,2,1,149,45286.5
117,Toyota,2009,3.4,Hybrid,Automatic,30651,4,1,223,49362.45
118,Ford,2005,3.7,Diesel,Manual,102919,4,3,94,33267.05
119,Toyota,2021,1.3,Electric,Automatic,44963,4,3,238,45882.85
120,Ford,2023,4.8,Diesel,Automatic,191944,4,4,128,48620.8
121,Honda,2018,4.4,Diesel,Automatic,122776,4,1,370,64542.2
122,Toyota,2016,4.2,Diesel,Automatic,84198,3,2,110,51050.1
123,Tesla,2014,4.3,Petrol,Manual,149811,4,1,107,43347.45
124,Hyundai,2022,4.7,Electric,Manual,135697,2,2,186,56486.15
125,BMW,2015,3.2,Diesel,Manual,68294,3,4,344,55375.3
126,Ford,2006,1.8,Diesel,Automatic,184428,2,4,339,35686.6
127,Tesla,2022,3.5,Hybrid,Automatic,6789,4,2,196,57585.55
128,BMW,2011,4.0,Electric,Manual,155492,2,2,72,38071.4
129,BMW,2019,4.0,Diesel,Manual,94297,3,1,362,65408.15
130,Toyota,2015,3.1,Hybrid,Automatic,173678,3,4,85,32626.1
131,BMW,2022,1.3,Hybrid,Manual,174712,3,1,334,46715.4
132,Hyundai,2016,2.5,Petrol,Manual,123341,2,2,308,50780.95
133,Tesla,2010,4.7,Hybrid,Automatic,49135,3,3,332,59547.25
134,BMW,2017,3.3,Diesel,Manual,42067,2,3,203,48685.65
135,Toyota,2020,3.2,Petrol,Automatic,194492,4,3,282,51130.4
136,Hyundai,2022,2.1,Petrol,Manual,22357,4,2,84,48141.15
137,Honda,2014,2.5,Diesel,Automatic,175923,2,1,397,49889.85
138,Tesla,2012,4.6,Electric,Automatic,43262,3,4,198,52625.9
139,BMW,2022,3.7,Hybrid,Automatic,63643,2,2,191,56077.85
140,Toyota,2005,4.1,Petrol,Automatic,157606,2,3,310,47665.7
141,Honda,2012,2.8,Electric,Automatic,96270,2,1,184,44898.5
142,Honda,2010,3.5,Diesel,Manual,168944,4,4,266,41296.8
143,Ford,2009,2.0,Hybrid,Manual,143761,2,4,291,36706.95
144,Hyundai,2019,3.8,Hybrid,Manual,74103,4,2,283,58402.85
145,BMW,2019,2.7,Petrol,Automatic,91268,2,2,149,47897.6
146,Toyota,2006,2.8,Hybrid,Manual,91310,4,4,332,43094.5
147,Ford,2005,3.6,Hybrid,Automatic,42412,2,4,204,43186.4
148,Hyundai,2015,4.7,Hybrid,Automatic,52734,2,3,375,63508.3
149,Ford,2014,1.3,Hybrid,Manual,92793,3,4,311,40110.35
150,Tesla,2022,4.3,Diesel,Automatic,27228,3,2,372,70167.6
151,Hyundai,2022,2.2,Electric,Manual,125627,2,1,339,55141.65
152,Hyundai,2021,2.8,Diesel,Automatic,82924,2,3,356,54500.8
